month_reported,state,pcode1,municipality,pcode2,parrish,pcode3,location,latitude,longitude,disaggregation,beneficiaries
2020-09-30T00:00:00Z,miranda,VE15,los salias,VE1513,san antonio de los altos,VE151301,cein mis primeros pasos,10.36,-66.98,f_19_and_older,1
2020-09-30T00:00:00Z,miranda,VE15,sucre,VE1519,petare,VE151901,cein pedro zaraza,10.28,-66.48,f_19_and_older,1
2020-10-31T00:00:00Z,la guaira,VE24,vargas,VE2401,carlos soublette,VE240111,cein rafael martinez salas,NA,NA,f_3_6,56
2020-10-31T00:00:00Z,la guaira,VE24,vargas,VE2401,carlos soublette,VE240111,cein rafael martinez salas,NA,NA,m_3_6,64
2020-09-30T00:00:00Z,miranda,VE15,cristobal rojas,VE1508,charallave,VE150801,cein reina roche,10.201,-66.837,f_19_and_older,1
2020-09-30T00:00:00Z,miranda,VE15,simon bolivar,VE1518,san francisco de yare,VE151801,cein san francisco de yare,10.177,-66.745,f_19_and_older,1
2020-01-31T00:00:00Z,miranda,VE15,simon bolivar,VE1518,san francisco de yare,VE151801,cein san francisco de yare,NA,NA,f_3_6,181
2020-01-31T00:00:00Z,miranda,VE15,simon bolivar,VE1518,san francisco de yare,VE151801,cein san francisco de yare,NA,NA,m_3_6,174
2020-01-31T00:00:00Z,miranda,VE15,simon bolivar,VE1518,san antonio de yare,VE151802,cein simoncito bicentenario,NA,NA,f_3_6,149
2020-01-31T00:00:00Z,miranda,VE15,simon bolivar,VE1518,san antonio de yare,VE151802,cein simoncito bicentenario,NA,NA,m_3_6,145
2020-01-31T00:00:00Z,miranda,VE15,guaicaipuro,VE1510,tacata,VE151007,cein tacata,NA,NA,f_3_6,38
2020-01-31T00:00:00Z,miranda,VE15,guaicaipuro,VE1510,tacata,VE151007,cein tacata,NA,NA,m_3_6,36
2020-05-31T00:00:00Z,miranda,VE15,plaza,VE1517,guarenas,VE151701,cein villa panamericana,10.4697979223317,-66.593713760376,f_0_3,153
