mes_solo,estado,pcode1,municipio,pcode2,parroquia,pcode3,ubicacion,latitud,longitud,desagregacion,beneficiarios
2020-09-30T00:00:00Z,MIRANDA,VE15,URDANETA,VE1520,CUA,VE152001,UENB EZEQUIEL ZAMORA,10.186,-66.967,f_mayores_de_19,1
2020-01-31T00:00:00Z,DISTRITO CAPITAL,VE01,LIBERTADOR,VE0101,SUCRE,VE010121,UENB GUSTAVO H MACHADO,NA,NA,m_12_17,394
2020-01-31T00:00:00Z,DISTRITO CAPITAL,VE01,LIBERTADOR,VE0101,SUCRE,VE010121,UENB GUSTAVO H MACHADO,NA,NA,m_7_12,379
2020-09-30T00:00:00Z,MIRANDA,VE15,SUCRE,VE1519,FILAS DE MARICHES,VE151903,UENB HUGO RAFAEL CHAVEZ FRIAS,10.474,-66.795,f_mayores_de_19,1
2020-01-31T00:00:00Z,MIRANDA,VE15,BRION,VE1504,TACARIGUA,VE150403,UENB LA FUNDACION,NA,NA,f_3_6,31
2020-01-31T00:00:00Z,MIRANDA,VE15,BRION,VE1504,TACARIGUA,VE150403,UENB LA FUNDACION,NA,NA,f_7_12,66
2020-01-31T00:00:00Z,MIRANDA,VE15,BRION,VE1504,TACARIGUA,VE150403,UENB LA FUNDACION,NA,NA,m_3_6,30
2020-01-31T00:00:00Z,MIRANDA,VE15,BRION,VE1504,TACARIGUA,VE150403,UENB LA FUNDACION,NA,NA,m_7_12,64
2020-09-30T00:00:00Z,MIRANDA,VE15,URDANETA,VE1520,CUA,VE152001,UENB LIBERTADOR SIMON BOLIVAR,10.151,-66.884,f_mayores_de_19,1
2020-09-30T00:00:00Z,MIRANDA,VE15,URDANETA,VE1520,CUA,VE152001,UENB LIBERTADOR SIMON BOLIVAR,10.151,-66.884,m_mayores_de_19,1
2020-09-30T00:00:00Z,MIRANDA,VE15,URDANETA,VE1520,CUA,VE152001,UENB LOS CHAGUARAMOS,10.148,-66.902,f_mayores_de_19,1
2020-01-31T00:00:00Z,DISTRITO CAPITAL,VE01,LIBERTADOR,VE0101,LA VEGA,VE010112,UENB LOS NARANJOS,NA,NA,f_12_17,202
2020-01-31T00:00:00Z,DISTRITO CAPITAL,VE01,LIBERTADOR,VE0101,LA VEGA,VE010112,UENB LOS NARANJOS,NA,NA,f_7_12,195
2020-01-31T00:00:00Z,DISTRITO CAPITAL,VE01,LIBERTADOR,VE0101,SUCRE,VE010121,UENB LUIS EZPELOSIN,NA,NA,m_12_17,498
